Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,0.338742,415,0.089902,415,0.354158,415,1.370136,415
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,0.33854,467,0.089834,467,0.354569,467,1.368531,467
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,0.338309,524,0.089549,524,0.354343,524,1.369057,524
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,0.338009,589,0.08962,589,0.354651,589,1.368992,589
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,0.339814,661,0.089925,661,0.354005,661,1.385988,661
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,0.338171,743,0.089756,743,0.354674,743,1.369768,743
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,0.339763,834,0.089781,834,0.354702,834,1.369261,834
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,0.339377,937,0.08994,937,0.354813,937,1.369578,937
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,0.338178,1053,0.089495,1053,0.35488,1053,1.369148,1053
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,0.338071,1182,0.089737,1182,0.353804,1182,1.368627,1182
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,0.338724,1328,0.090026,1328,0.354549,1328,1.369339,1328
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,0.338039,1492,0.089774,1492,0.353216,1492,1.371137,1492
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,0.338683,1676,0.089913,1676,0.354874,1676,1.368058,1676
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,0.338025,1883,0.089692,1883,0.353948,1883,1.368155,1883
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,0.337681,2115,0.089996,2115,0.354284,2115,1.369003,2115
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,0.33939,2375,0.089847,2375,0.354172,2375,1.368129,2375
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,0.338788,2668,0.08984,2668,0.354383,2668,1.367436,2668
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,0.338975,2997,0.089877,2997,0.35832,2997,1.367232,2997
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,0.33811,3367,0.089959,3367,0.35436,3367,1.367465,3367
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,0.337814,3782,0.089881,3782,0.35462,3782,1.366817,3782
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,0.33793,4248,0.089668,4248,0.355296,4248,1.366603,4248
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,0.33974,4772,0.08993,4772,0.353554,4772,1.36733,4772
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,0.338366,5361,0.089586,5361,0.354222,5361,1.365991,5361
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,0.337862,6022,0.089989,6022,0.353235,6022,1.365522,6022
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,0.337331,6764,0.089832,6764,0.353704,6764,1.364454,6764
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,0.339204,7598,0.089966,7598,0.354164,7598,1.365486,7598
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,0.337148,8535,0.089822,8535,0.352845,8535,1.363659,8535
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,0.337176,9588,0.089882,9588,0.35297,9588,1.363081,9588
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,0.339052,10770,0.089692,10770,0.353527,10770,1.361996,10770
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,0.339218,12098,0.090036,12098,0.352786,12098,1.36217,12098
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,0.336843,13590,0.090001,13590,0.352943,13590,1.362154,13590
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,0.337674,15266,0.089984,15266,0.352476,15266,1.360032,15266
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,0.336646,17149,0.089442,17149,0.351895,17149,1.357198,17149
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,0.337332,19264,0.089974,19264,0.351888,19264,1.355904,19264
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,0.336432,21639,0.089674,21639,0.351643,21639,1.360325,21639
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,0.336778,24308,0.089633,24308,0.351418,24308,1.352853,24308
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,0.334819,27306,0.089751,27306,0.351124,27306,1.350837,27306
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,0.335718,30673,0.089764,30673,0.349996,30673,1.349278,30673
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,0.335431,34456,0.089786,34456,0.350628,34456,1.345895,34456
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,0.33439,38705,0.089668,38705,0.349526,38705,1.342412,38705
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,0.334142,43478,0.089558,43478,0.350026,43478,1.339446,43478
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,0.332789,48840,0.089648,48840,0.349447,48840,1.336035,48840
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,0.332337,54863,0.089575,54863,0.34815,54863,1.330865,54863
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,0.33299,61629,0.089558,61629,0.347377,61629,1.326337,61629
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,0.331304,69229,0.089582,69229,0.34578,69229,1.321266,69229
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,0.331906,77766,0.089412,77766,0.345909,77766,1.315907,77766
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,0.330144,87357,0.089514,87357,0.344516,87357,1.309529,87357
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,0.329265,98130,0.089163,98130,0.343084,98130,1.301659,98130
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,0.327193,110232,0.089135,110232,0.341816,110232,1.294089,110232
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,0.325645,123826,0.089104,123826,0.339808,123826,1.284481,123826
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,0.33697,139097,0.089258,139097,0.338328,139097,1.274036,139097
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,0.322508,156250,0.089199,156250,0.336606,156250,1.260654,156250
