Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,0.56556,467,0.517081,467,0.587138,467,0.0,467
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,0.566244,524,0.526623,524,0.587199,524,0.0,524
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,0.566771,589,0.51613,589,0.579225,589,0.0,589
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,0.56651,661,0.522703,661,0.589532,661,0.0,661
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,0.568101,743,0.516843,743,0.59033,743,0.0,743
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,0.568481,834,0.517805,834,0.589141,834,0.0,834
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,0.570277,937,0.515046,937,0.591982,937,0.0,937
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,0.580697,1053,0.519978,1053,0.589565,1053,0.0,1053
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,0.584075,1182,0.516938,1182,0.605423,1182,0.0,1182
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,0.575183,1328,0.527853,1328,0.61144,1328,0.0,1328
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,0.577665,1492,0.519665,1492,0.601334,1492,0.0,1492
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,0.576172,1676,0.518278,1676,0.599412,1676,0.0,1676
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,0.578821,1883,0.528577,1883,0.597164,1883,0.0,1883
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,0.571619,2115,0.516578,2115,0.591584,2115,0.0,2115
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,0.573198,2375,0.525171,2375,0.595248,2375,0.0,2375
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,0.57339,2668,0.524267,2668,0.598179,2668,0.0,2668
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,0.571959,2997,0.530651,2997,0.59318,2997,0.0,2997
