Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,Sequential,0.343084,98130
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,MPI (4),0.102139,98130
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,CUDA,0.60684,98130
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,Sequential,0.341816,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,MPI (4),0.102444,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,CUDA,0.587637,110232
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,Sequential,0.339808,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,MPI (4),0.102406,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,CUDA,0.601392,123826
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,Sequential,0.338328,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,MPI (4),0.10267,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,CUDA,0.601759,139097
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,Sequential,0.336606,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,MPI (4),0.102302,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,CUDA,0.598412,156250
