Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,Sequential,1.294089,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,MPI (4),0.322439,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,CUDA,0.0,110232
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,Sequential,1.284481,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,MPI (4),0.322633,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,CUDA,0.0,123826
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,Sequential,1.274036,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,MPI (4),0.323963,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,CUDA,0.0,139097
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,Sequential,1.260654,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,MPI (4),0.324165,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,CUDA,0.0,156250
