Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,Sequential,1.374678,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,MPI (4),0.324444,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,CUDA,0.0,21
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,Sequential,1.371117,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,MPI (4),0.327686,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,CUDA,0.0,23
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,Sequential,1.370569,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,MPI (4),0.324171,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,CUDA,0.0,26
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,Sequential,1.373095,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,MPI (4),0.324216,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,CUDA,0.0,29
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,Sequential,1.422156,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,MPI (4),0.324364,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,CUDA,0.0,33
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,Sequential,1.42343,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,MPI (4),0.323836,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,CUDA,0.0,37
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,Sequential,1.399425,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,MPI (4),0.324222,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,CUDA,0.0,41
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,Sequential,1.371853,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,MPI (4),0.32442,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,CUDA,0.0,46
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,Sequential,1.369442,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,MPI (4),0.325324,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,CUDA,0.0,52
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,Sequential,1.376324,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,MPI (4),0.32449,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,CUDA,0.0,58
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,Sequential,1.377968,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,MPI (4),0.324049,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,CUDA,0.0,65
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,Sequential,1.378125,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,MPI (4),0.324333,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,CUDA,0.0,73
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,Sequential,1.371547,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,MPI (4),0.324614,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,CUDA,0.0,82
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,Sequential,1.36954,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,MPI (4),0.324351,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,CUDA,0.0,92
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,Sequential,1.369819,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,MPI (4),0.324893,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,CUDA,0.0,103
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,Sequential,1.369497,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,MPI (4),0.324152,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,CUDA,0.0,116
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,Sequential,1.374142,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,MPI (4),0.324615,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,CUDA,0.0,130
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,Sequential,1.37023,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,MPI (4),0.324512,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,CUDA,0.0,146
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,Sequential,1.378531,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,MPI (4),0.323571,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,CUDA,0.0,164
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,Sequential,1.369663,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,MPI (4),0.323838,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,CUDA,0.0,184
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,Sequential,1.375885,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,MPI (4),0.324309,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,CUDA,0.0,207
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,Sequential,1.373618,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,MPI (4),0.324346,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,CUDA,0.0,233
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,Sequential,1.369298,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,MPI (4),0.324508,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,CUDA,0.0,261
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,Sequential,1.369772,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,MPI (4),0.324297,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,CUDA,0.0,293
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,Sequential,1.369407,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,MPI (4),0.324258,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,CUDA,0.0,329
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,Sequential,1.370893,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,MPI (4),0.324552,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,CUDA,0.0,370
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,Sequential,1.370136,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,MPI (4),0.324301,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,CUDA,0.0,415
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,Sequential,1.368531,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,MPI (4),0.325015,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,CUDA,0.0,467
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,Sequential,1.369057,524
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,MPI (4),0.322541,524
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,CUDA,0.0,524
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,Sequential,1.368992,589
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,MPI (4),0.324312,589
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,CUDA,0.0,589
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,Sequential,1.385988,661
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,MPI (4),0.323891,661
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,CUDA,0.0,661
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,Sequential,1.369768,743
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,MPI (4),0.324298,743
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,CUDA,0.0,743
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,Sequential,1.369261,834
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,MPI (4),0.32267,834
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,CUDA,0.0,834
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,Sequential,1.369578,937
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,MPI (4),0.324804,937
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,CUDA,0.0,937
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,Sequential,1.369148,1053
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,MPI (4),0.3258,1053
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,CUDA,0.0,1053
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,Sequential,1.368627,1182
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,MPI (4),0.323534,1182
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,CUDA,0.0,1182
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,Sequential,1.369339,1328
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,MPI (4),0.324963,1328
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,CUDA,0.0,1328
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,Sequential,1.371137,1492
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,MPI (4),0.323205,1492
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,CUDA,0.0,1492
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,Sequential,1.368058,1676
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,MPI (4),0.323698,1676
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,CUDA,0.0,1676
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,Sequential,1.368155,1883
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,MPI (4),0.323291,1883
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,CUDA,0.0,1883
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,Sequential,1.369003,2115
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,MPI (4),0.323279,2115
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,CUDA,0.0,2115
